video_id,frame,notes
anime1, 34, jump_cut
anime1, 96, jump_cut
anime1, 131, jump_cut
anime1, 186, jump_cut
anime1, 214, jump_cut
anime1, 244, jump_cut
anime1, 276, jump_cut
anime1, 327, jump_cut
anime1, 405, jump_cut
anime1, 441, jump_cut
anime1, 490, jump_cut
anime1, 539, jump_cut
anime1, 586, jump_cut
anime1, 646, jump_cut
anime1, 686, jump_cut
anime1, 723, jump_cut
anime1, 768, jump_cut
anime1, 783, jump_cut
anime1, 815, jump_cut
anime1, 886, jump_cut
anime1, 980, fadeout
anime1, 1029, jump_cut
anime1, 1081, jump_cut
anime1, 1129, jump_cut
anime1, 1184, jump_cut
anime1, 1238, jump_cut
anime1, 1275, jump_cut
anime1, 1313, jump_cut
anime1, 1364, jump_cut
anime1, 1414, jump_cut
anime1, 1460, jump_cut
anime1, 1552, jump_cut
anime1, 1586, jump_cut
anime1, 1622, jump_cut
anime1, 1683, jump_cut
anime1, 1723, jump_cut
anime1, 1782, jump_cut
anime1, 1827, jump_cut
anime1, 1869, jump_cut
anime1, 1957, jump_cut
anime1, 2027, jump_cut
anime2, 133, jump_cut
anime2, 243, jump_cut
anime2, 354, jump_cut
anime2, 621, scene_change
anime2, 774, jump_cut
anime2, 840, jump_cut
anime2, 909, jump_cut
anime2, 967, jump_cut
anime2, 1011, jump_cut
anime2, 1131, jump_cut
anime2, 1206, jump_cut
anime2, 1235, jump_cut
anime2, 1298, jump_cut
anime2, 1366, jump_cut
anime2, 1429, jump_cut
anime2, 1509, jump_cut
anime2, 1560, jump_cut
anime2, 1623, jump_cut
movie1, 46, jump_cut
movie1, 115, jump_cut
movie1, 247, jump_cut
movie1, 348, jump_cut
movie1, 393, jump_cut
movie1, 441, jump_cut
movie1, 480, jump_cut
movie1, 503, jump_cut
movie1, 527, jump_cut
movie1, 589, jump_cut
movie1, 615, jump_cut
movie1, 647, jump_cut
movie1, 689, jump_cut
movie1, 707, jump_cut
movie1, 732, jump_cut
